# Time-averaged data for fix 2
# TimeStep c_KE c_PE c_PRESS c_TEMP
0 14996.2 0 0.0499875 2.5
1 14996.2 0 0.0499875 2.5
2 14996.2 0 0.0499875 2.5
3 14996.2 0 0.0499875 2.5
4 14996.2 0 0.0499875 2.5
5 14996.2 0 0.0499875 2.5
6 14996.2 0 0.0499875 2.5
7 14996.2 0 0.0499875 2.5
8 14996.2 0 0.0499875 2.5
9 14996.2 0 0.0499875 2.5
10 14996.2 0 0.0499875 2.5
11 14996.2 0 0.0499875 2.5
12 14996.2 0 0.0499875 2.5
13 14996.2 0 0.0499875 2.5
14 14996.2 0 0.0499875 2.5
15 14996.2 0 0.0499875 2.5
16 14996.2 0 0.0499875 2.5
17 14996.2 0 0.0499875 2.5
18 14996.2 0 0.0499875 2.5
19 14996.2 0 0.0499875 2.5
20 14996.2 0 0.0499875 2.5
21 14996.2 0 0.0499875 2.5
22 14996.2 0 0.0499875 2.5
23 14996.2 0 0.0499875 2.5
24 14996.2 0 0.0499875 2.5
25 14996.2 0 0.0499875 2.5
26 14996.2 0 0.0499875 2.5
27 14996.2 0 0.0499875 2.5
28 14996.2 0 0.0499875 2.5
29 14996.2 0 0.0499875 2.5
30 14996.2 0 0.0499875 2.5
31 14996.2 0 0.0499875 2.5
32 14996.3 -0.00549622 0.0499874 2.5
33 14996.3 -0.0115655 0.0499874 2.5
34 14996.3 -0.0180817 0.0499873 2.5
35 14996.3 -0.0361644 0.0499872 2.5
36 14996.3 -0.0950023 0.0499866 2.5
37 14996.3 -0.124146 0.0499863 2.5
38 14996.3 -0.177521 0.0499858 2.5
39 14996.3 -0.218019 0.0499854 2.50001
40 14996.3 -0.316822 0.0499845 2.50001
41 14996.3 -0.461241 0.0499832 2.50001
42 14996.4 -0.56885 0.0499822 2.50002
43 14996.4 -0.756268 0.0499804 2.50002
44 14996.4 -0.981238 0.0499784 2.50003
45 14996.5 -1.2356 0.049976 2.50004
46 14996.6 -1.52096 0.0499734 2.50006
47 14996.7 -1.765 0.0499713 2.50007
48 14996.8 -2.04989 0.0499688 2.50009
49 14996.9 -2.42299 0.0499655 2.50011
50 14997 -2.82023 0.049962 2.50013
51 14997.2 -3.12545 0.0499595 2.50016
52 14997.4 -3.51417 0.0499562 2.50019
53 14997.6 -3.90603 0.0499529 2.50022
54 14997.8 -4.34069 0.0499493 2.50026
55 14998 -4.79282 0.0499456 2.5003
56 14998.3 -5.34535 0.049941 2.50034
57 14998.6 -5.84774 0.0499369 2.50039
58 14998.9 -6.39743 0.0499325 2.50044
59 14999.2 -6.98034 0.0499279 2.5005
60 14999.6 -7.61597 0.0499228 2.50056
61 15000 -8.25607 0.0499178 2.50063
62 15000.4 -8.94585 0.0499124 2.5007
63 15000.9 -9.63824 0.0499071 2.50078
64 15001.4 -10.3286 0.0499019 2.50086
65 15002 -11.1524 0.0498956 2.50096
66 15002.6 -11.9865 0.0498893 2.50105
67 15003.2 -12.844 0.0498829 2.50116
68 15003.9 -13.8116 0.0498756 2.50128
69 15004.6 -14.7438 0.0498689 2.5014
70 15005.4 -15.7815 0.0498613 2.50153
71 15006.3 -16.8528 0.0498537 2.50167
72 15007.2 -18.0555 0.0498449 2.50183
73 15008.2 -19.2752 0.0498363 2.50199
74 15009.3 -20.6051 0.0498269 2.50217
75 15010.4 -21.9631 0.0498176 2.50237
76 15011.7 -23.3946 0.0498079 2.50257
77 15013 -24.9168 0.0497978 2.5028
78 15014.5 -26.584 0.0497867 2.50304
79 15016 -28.3826 0.0497749 2.5033
80 15017.7 -30.2339 0.0497633 2.50358
81 15019.6 -32.2451 0.049751 2.50388
82 15021.5 -34.4587 0.0497376 2.50421
83 15023.6 -36.7556 0.0497247 2.50456
84 15025.9 -39.1755 0.0497121 2.50494
85 15028.3 -41.7787 0.0496997 2.50534
86 15030.8 -44.531 0.0496884 2.50576
87 15033.4 -47.3677 0.0496798 2.5062
88 15036 -50.2066 0.0496759 2.50663
89 15038.5 -52.8488 0.0496805 2.50704
90 15040.6 -55.0542 0.0496984 2.50739
91 15042 -56.6773 0.0497339 2.50762
92 15042.4 -57.2473 0.0497943 2.50769
93 15041.9 -56.9918 0.0498765 2.50762
94 15041.4 -56.5487 0.0499667 2.50753
95 15042.2 -57.5136 0.0500358 2.50767
96 15045.3 -60.8696 0.0500662 2.50817
97 15049.7 -65.6295 0.0500754 2.50892
98 15053.9 -70.0494 0.0500973 2.50961
99 15056.1 -72.5159 0.0501629 2.50998
100 15055.5 -72.0891 0.0502894 2.50987
101 15052.1 -68.7742 0.0504755 2.50931
102 15047 -63.7618 0.0506982 2.50847
103 15042 -58.6903 0.050924 2.50762
104 15038.7 -55.4652 0.0511157 2.50708
105 15038.8 -55.5856 0.0512435 2.50709
106 15042.4 -59.3925 0.0513006 2.50769
107 15048.4 -65.6322 0.0513097 2.50869
108 15055.2 -72.6691 0.0513024 2.50982
109 15062 -79.579 0.0512966 2.51096
110 15068.6 -86.3112 0.051295 2.51206
111 15074.8 -92.7135 0.051302 2.5131
112 15080.3 -98.2928 0.0513275 2.514
113 15084.4 -102.535 0.0513814 2.51469
114 15087.1 -105.356 0.0514659 2.51514
115 15088.6 -106.945 0.0515763 2.51539
116 15089.6 -108.069 0.0516975 2.51557
117 15091.3 -109.844 0.0518077 2.51585
118 15094.7 -113.29 0.0518874 2.51641
119 15099.8 -118.674 0.0519313 2.51727
120 15106.2 -125.164 0.0519541 2.51833
121 15112.5 -131.683 0.051978 2.51937
122 15117.5 -136.817 0.0520279 2.52021
123 15120.6 -140.027 0.0521149 2.52072
124 15121.7 -141.228 0.0522395 2.52092
125 15121.4 -141.053 0.0523896 2.52087
126 15120.5 -140.151 0.0525499 2.52071
127 15119.7 -139.426 0.0527014 2.52058
128 15120.1 -139.796 0.052825 2.52064
129 15122.4 -142.175 0.052902 2.52103
130 15127.5 -147.327 0.0529172 2.52188
131 15135.5 -155.499 0.0528658 2.52322
132 15146.1 -166.219 0.0527571 2.52498
133 15158.2 -178.451 0.0526118 2.527
134 15170.5 -190.975 0.0524555 2.52905
135 15182 -202.567 0.0523121 2.53097
136 15192 -212.568 0.0521956 2.53263
137 15200.5 -221.087 0.0521062 2.53404
138 15207.8 -228.52 0.0520376 2.53527
139 15214.5 -235.272 0.0519821 2.53639
140 15221 -241.786 0.0519321 2.53747
141 15227.4 -248.275 0.051884 2.53854
142 15233.8 -254.711 0.0518387 2.5396
143 15239.8 -260.856 0.0518013 2.5406
144 15245.2 -266.366 0.0517785 2.5415
145 15249.7 -270.93 0.0517765 2.54225
146 15252.9 -274.176 0.0518024 2.54278
147 15254.4 -275.829 0.051862 2.54304
148 15254 -275.548 0.051961 2.54298
149 15251.7 -273.284 0.0520996 2.54259
150 15247.6 -269.229 0.0522719 2.54191
151 15242.4 -264.035 0.0524643 2.54104
152 15236.9 -258.603 0.0526583 2.54012
153 15231.9 -253.674 0.0528371 2.53929
154 15228.1 -249.884 0.0529869 2.53865
155 15225.6 -247.455 0.0531014 2.53823
156 15224.5 -246.477 0.0531789 2.53804
157 15224.4 -246.479 0.0532255 2.53804
158 15225.3 -247.383 0.0532437 2.53818
159 15226.9 -249.092 0.053235 2.53845
160 15229.4 -251.69 0.0531979 2.53887
161 15233.1 -255.374 0.053129 2.53948
162 15238 -260.391 0.0530251 2.5403
163 15244.1 -266.625 0.0528889 2.54132
164 15251.1 -273.674 0.0527292 2.54249
165 15258.2 -280.869 0.0525608 2.54367
166 15264.6 -287.38 0.0523999 2.54474
167 15270 -292.806 0.0522557 2.54564
168 15274.4 -297.212 0.0521284 2.54637
169 15278.2 -300.985 0.0520111 2.547
170 15281.8 -304.63 0.051895 2.54761
171 15285.7 -308.648 0.0517723 2.54826
172 15290 -312.961 0.0516439 2.54897
173 15294.3 -317.384 0.0515144 2.5497
174 15298.3 -321.434 0.0513938 2.55036
175 15301.4 -324.587 0.0512924 2.55088
176 15303.4 -326.529 0.0512166 2.5512
177 15304.1 -327.263 0.0511667 2.55132
178 15304 -327.151 0.0511363 2.5513
179 15303.5 -326.719 0.0511149 2.55123
180 15303.4 -326.525 0.0510913 2.5512
181 15303.9 -327.084 0.0510562 2.55129
182 15305.3 -328.552 0.0510066 2.55152
183 15307.4 -330.726 0.0509456 2.55187
184 15310 -333.48 0.050877 2.55231
185 15312.9 -336.452 0.0508072 2.55279
186 15315.9 -339.491 0.0507401 2.55328
187 15318.6 -342.348 0.0506809 2.55375
188 15321 -344.81 0.0506345 2.55414
189 15322.8 -346.582 0.0506064 2.55444
190 15323.7 -347.578 0.0505996 2.5546
191 15323.8 -347.676 0.0506159 2.5546
192 15323 -346.975 0.0506537 2.55448
193 15321.7 -345.692 0.0507077 2.55426
194 15320.2 -344.237 0.05077 2.55401
195 15318.9 -342.967 0.0508334 2.55378
196 15317.8 -341.923 0.0508956 2.55361
197 15317 -341.151 0.0509554 2.55347
198 15316.4 -340.638 0.0510129 2.55338
199 15316.1 -340.34 0.051068 2.55332
200 15315.9 -340.255 0.0511207 2.55329
201 15315.8 -340.201 0.0511736 2.55327
202 15315.6 -340.09 0.0512288 2.55323
203 15315.1 -339.644 0.0512903 2.55315
204 15314.2 -338.743 0.0513602 2.553
205 15312.7 -337.31 0.0514403 2.55276
206 15310.6 -335.247 0.0515316 2.5524
207 15307.9 -332.626 0.0516314 2.55195
208 15305.1 -329.876 0.0517301 2.5515
209 15303.2 -327.842 0.0518111 2.55116
210 15302.7 -327.382 0.051858 2.55109
211 15304.2 -328.855 0.0518632 2.55133
212 15307.4 -332.2 0.051829 2.55187
213 15311.9 -336.768 0.0517673 2.55261
214 15316.8 -341.788 0.0516931 2.55344
215 15321.6 -346.62 0.05162 2.55424
216 15325.6 -350.652 0.051561 2.55491
217 15328.3 -353.459 0.0515248 2.55536
218 15329.9 -355.055 0.0515111 2.55563
219 15331.1 -356.127 0.0515069 2.55582
220 15332.8 -357.845 0.0514912 2.55611
221 15335.8 -360.884 0.0514518 2.55661
222 15339.8 -364.962 0.0513942 2.55728
223 15343.9 -369.117 0.0513366 2.55796
224 15347.2 -372.442 0.0512975 2.55851
225 15349.1 -374.332 0.0512885 2.55882
226 15349.4 -374.678 0.0513119 2.55887
227 15348.5 -373.813 0.0513613 2.55873
228 15347.1 -372.327 0.0514253 2.55848
229 15345.5 -370.732 0.0514935 2.55822
230 15344 -369.295 0.0515606 2.55797
231 15342.4 -367.754 0.0516301 2.5577
232 15340.4 -365.732 0.0517078 2.55737
233 15337.9 -363.246 0.0517936 2.55695
234 15335.3 -360.665 0.0518794 2.55652
235 15333.3 -358.668 0.0519509 2.55619
236 15332.6 -357.989 0.0519943 2.55607
237 15333.3 -358.752 0.0520069 2.55619
238 15335 -360.529 0.0519968 2.55647
239 15337 -362.573 0.0519777 2.55681
240 15338.8 -364.413 0.0519598 2.55711
241 15340.1 -365.778 0.0519483 2.55733
242 15341.1 -366.737 0.0519421 2.55749
243 15342 -367.621 0.0519349 2.55765
244 15343.4 -368.958 0.0519182 2.55787
245 15345 -370.725 0.0518928 2.55815
246 15346.4 -372.108 0.0518732 2.55837
247 15346.5 -372.27 0.0518753 2.55839
248 15345.1 -370.927 0.0519048 2.55816
249 15342.7 -368.438 0.0519534 2.55775
250 15340 -365.747 0.0520032 2.55731
251 15337.9 -363.647 0.0520383 2.55695
252 15336.7 -362.429 0.0520519 2.55675
253 15336.4 -362.134 0.0520434 2.5567
254 15336.8 -362.534 0.0520164 2.55676
255 15337.7 -363.52 0.0519729 2.55693
256 15339.3 -365.07 0.0519137 2.55719
257 15341.3 -367.105 0.0518404 2.55753
258 15344 -369.691 0.0517528 2.55797
259 15347.3 -372.961 0.0516494 2.55852
260 15351.3 -377.146 0.0515276 2.5592
261 15356.1 -381.953 0.0513926 2.55999
262 15361.2 -387.061 0.0512527 2.56083
263 15366 -391.916 0.0511193 2.56164
264 15370.1 -396.069 0.0510022 2.56233
265 15373.4 -399.379 0.0509058 2.56288
266 15375.8 -401.78 0.0508324 2.56327
267 15377.2 -403.25 0.0507829 2.56352
268 15377.7 -403.709 0.0507595 2.56359
269 15377 -403.002 0.0507653 2.56347
270 15374.9 -400.965 0.0508036 2.56312
271 15371.4 -397.46 0.0508759 2.56253
272 15366.6 -392.65 0.0509781 2.56174
273 15361 -387.028 0.0511003 2.56081
274 15355 -381.046 0.0512327 2.5598
275 15348.9 -374.941 0.0513685 2.55879
276 15343 -369.148 0.051499 2.55781
277 15337.9 -363.952 0.051616 2.55695
278 15334 -360.051 0.0517058 2.5563
279 15331.7 -357.83 0.0517608 2.55593
280 15330.8 -356.978 0.0517863 2.55577
281 15330.4 -356.588 0.0517988 2.55571
282 15329.7 -355.894 0.0518132 2.55559
283 15328.3 -354.578 0.0518361 2.55536
284 15326.4 -352.61 0.0518665 2.55503
285 15324.2 -350.495 0.0518955 2.55468
286 15322.4 -348.619 0.0519149 2.55437
287 15321.3 -347.519 0.0519142 2.55419
288 15321.7 -347.859 0.0518805 2.55426
289 15324.2 -350.327 0.0518015 2.55467
290 15329 -355.116 0.0516745 2.55547
291 15335.3 -361.54 0.0515143 2.55652
292 15341.7 -368.048 0.0513511 2.55759
293 15346.7 -373.098 0.0512158 2.55842
294 15349.3 -375.701 0.0511286 2.55885
295 15349.4 -375.833 0.0510905 2.55888
296 15348.3 -374.528 0.0510818 2.55869
297 15347.4 -373.508 0.0510708 2.55854
298 15347.9 -374.039 0.0510344 2.55862
299 15349.8 -376.034 0.050974 2.55894
300 15352.1 -378.456 0.0509089 2.55932
301 15353.7 -380.167 0.0508607 2.55959
302 15354.1 -380.594 0.0508397 2.55966
303 15353.6 -380.042 0.050841 2.55958
304 15352.8 -379.265 0.0508514 2.55945
305 15352.2 -378.65 0.0508628 2.55934
306 15351.7 -378.146 0.0508758 2.55925
307 15350.8 -377.303 0.0508985 2.55911
308 15349.1 -375.656 0.0509395 2.55883
309 15346.5 -372.983 0.051002 2.55839
310 15343.1 -369.554 0.0510801 2.55782
311 15339.6 -366.065 0.0511602 2.55725
312 15336.7 -363.157 0.0512292 2.55676
313 15334.5 -360.986 0.0512826 2.55639
314 15333.1 -359.499 0.05132 2.55615
315 15332.6 -358.971 0.0513362 2.55607
316 15333.6 -360.002 0.0513199 2.55625
317 15336.6 -362.993 0.0512633 2.55674
318 15341.4 -367.839 0.0511698 2.55753
319 15347.2 -373.765 0.0510546 2.5585
320 15353.2 -379.796 0.0509365 2.55951
321 15359.1 -385.745 0.0508227 2.56049
322 15364.7 -391.329 0.0507183 2.56143
323 15369.8 -396.402 0.0506288 2.56227
324 15373.5 -400.239 0.0505699 2.56289
325 15375.1 -401.877 0.0505594 2.56315
326 15374.2 -400.931 0.0506033 2.563
327 15371.3 -398.005 0.0506911 2.56252
328 15367.3 -393.888 0.050806 2.56185
329 15363.1 -389.698 0.0509266 2.56115
330 15359.4 -386.017 0.0510392 2.56054
331 15356.8 -383.344 0.0511327 2.56011
332 15355.6 -382.232 0.0511966 2.55991
333 15356.4 -383.022 0.0512234 2.56003
334 15359 -385.755 0.0512122 2.56047
335 15362.8 -389.611 0.0511778 2.5611
336 15366.6 -393.515 0.0511426 2.56173
337 15369.4 -396.277 0.0511279 2.5622
338 15371 -397.844 0.0511363 2.56247
339 15371.9 -398.78 0.0511583 2.56263
340 15372.6 -399.441 0.0511864 2.56274
341 15372.9 -399.79 0.0512214 2.5628
342 15372.7 -399.599 0.0512676 2.56276
343 15372 -398.886 0.0513241 2.56264
344 15371 -397.862 0.0513858 2.56248
345 15369.9 -396.765 0.0514484 2.56229
346 15368.6 -395.497 0.0515126 2.56207
347 15367.4 -394.336 0.0515728 2.56188
348 15367 -393.927 0.0516165 2.56181
349 15367.5 -394.492 0.0516397 2.56188
350 15367.9 -394.979 0.0516609 2.56195
351 15367.2 -394.275 0.0517006 2.56184
352 15365.1 -392.123 0.0517634 2.56149
353 15362.4 -389.382 0.0518325 2.56105
354 15360.5 -387.412 0.0518815 2.56073
355 15360.4 -387.342 0.0518894 2.56071
356 15362.2 -389.152 0.0518556 2.56101
357 15365.3 -392.352 0.0517906 2.56152
358 15368.9 -395.944 0.051711 2.56213
359 15372.8 -399.773 0.0516235 2.56277
360 15376.4 -403.406 0.0515365 2.56338
361 15379.6 -406.625 0.0514558 2.56391
362 15382.1 -409.174 0.0513869 2.56433
363 15383.7 -410.825 0.051335 2.56459
364 15384 -411.156 0.0513079 2.56464
365 15382.6 -409.799 0.0513126 2.56441
366 15379.5 -406.675 0.0513504 2.56389
367 15375 -402.163 0.0514124 2.56315
368 15370.5 -397.533 0.0514738 2.56239
369 15367.4 -394.356 0.0515035 2.56187
370 15367 -393.962 0.0514759 2.56181
371 15369.7 -396.693 0.0513848 2.56226
372 15374.8 -401.825 0.0512439 2.56311
373 15381.2 -408.268 0.0510752 2.56418
374 15387.9 -415.03 0.0508997 2.5653
375 15394.1 -421.207 0.0507364 2.56632
376 15399 -426.134 0.0505991 2.56715
377 15402.5 -429.626 0.0504935 2.56773
378 15404.7 -431.79 0.0504189 2.5681
379 15406 -432.987 0.0503694 2.5683
380 15406.5 -433.499 0.0503403 2.56839
381 15406.3 -433.363 0.0503312 2.56836
382 15405.2 -432.365 0.0503461 2.56818
383 15403 -430.1 0.0503915 2.56781
384 15399.3 -426.458 0.0504698 2.5672
385 15394.1 -421.251 0.050583 2.56633
386 15387.6 -414.698 0.0507255 2.56524
387 15380.4 -407.519 0.0508817 2.56405
388 15374 -401.027 0.0510246 2.56298
389 15369.5 -396.455 0.05113 2.56223
390 15367 -394.021 0.0511931 2.56181
391 15365.9 -393.009 0.0512249 2.56163
392 15365.9 -392.935 0.0512339 2.56162
393 15366.5 -393.461 0.0512259 2.56172
394 15367.6 -394.553 0.0512028 2.5619
395 15369.5 -396.382 0.0511608 2.56222
396 15372.7 -399.617 0.0510885 2.56276
397 15377.7 -404.549 0.050981 2.56358
398 15384.1 -411.038 0.0508434 2.56465
399 15391.1 -418.168 0.0506938 2.56583
400 15397.9 -424.967 0.0505522 2.56695
401 15403.6 -430.734 0.0504339 2.56791
402 15408 -435.035 0.0503483 2.56863
403 15410.8 -437.915 0.050297 2.56911
404 15412.3 -439.415 0.0502793 2.56935
405 15412.5 -439.658 0.0502931 2.56939
406 15411.6 -438.832 0.0503348 2.56925
407 15409.9 -437.14 0.0504002 2.56896
408 15407.5 -434.642 0.0504867 2.56855
409 15404.5 -431.727 0.0505881 2.56805
410 15401 -428.273 0.0507038 2.56748
411 15397.2 -424.399 0.0508305 2.56684
412 15393.2 -420.33 0.0509639 2.56617
413 15389 -416.157 0.0511006 2.56548
414 15384.8 -411.953 0.0512381 2.56478
415 15380.5 -407.635 0.0513766 2.56406
416 15375.8 -403.001 0.0515191 2.56327
417 15370.4 -397.626 0.0516708 2.56237
418 15364.4 -391.7 0.0518264 2.56138
419 15359 -386.168 0.0519656 2.56047
420 15355.9 -382.914 0.0520517 2.55995
421 15356.8 -383.805 0.0520496 2.5601
422 15362.5 -389.541 0.0519459 2.56105
423 15372.2 -399.454 0.0517552 2.56267
424 15384 -411.43 0.0515185 2.56465
425 15395.9 -423.275 0.0512804 2.56662
426 15406.1 -433.503 0.0510735 2.56832
427 15413.9 -441.371 0.0509143 2.56963
428 15419.4 -446.821 0.050806 2.57054
429 15422.7 -450.128 0.0507453 2.5711
430 15424.2 -451.583 0.0507283 2.57134
431 15423.8 -451.185 0.0507544 2.57127
432 15421.5 -448.93 0.0508231 2.57089
433 15417.7 -445.041 0.0509289 2.57025
434 15412.8 -440.225 0.051058 2.56945
435 15407.9 -435.23 0.0511931 2.56862
436 15403.6 -430.914 0.0513171 2.56791
437 15400.4 -427.688 0.0514213 2.56737
438 15397.9 -425.368 0.0515078 2.56697
439 15395.9 -423.344 0.0515859 2.56663
440 15393.8 -421.301 0.0516619 2.56628
441 15391.5 -419.047 0.0517383 2.56589
442 15389 -416.546 0.0518143 2.56548
443 15386.6 -414.107 0.051884 2.56508
444 15384.7 -412.145 0.0519385 2.56476
445 15383.9 -411.366 0.0519647 2.56463
446 15384.7 -412.109 0.0519556 2.56475
447 15386.7 -414.22 0.0519141 2.5651
448 15389.7 -417.202 0.0518499 2.5656
449 15393.3 -420.803 0.0517685 2.5662
450 15397.6 -425.047 0.051671 2.5669
451 15402.3 -429.781 0.0515606 2.5677
452 15407.3 -434.786 0.0514441 2.56852
453 15411.8 -439.33 0.0513355 2.56928
454 15415.2 -442.769 0.0512489 2.56984
455 15416.7 -444.331 0.051199 2.57009
456 15416 -443.58 0.0511939 2.56997
457 15413 -440.584 0.0512324 2.56948
458 15408.4 -435.894 0.0513026 2.56871
459 15403.4 -430.755 0.0513797 2.56787
460 15399.4 -426.688 0.0514336 2.56721
461 15397.7 -425.053 0.0514382 2.56693
462 15398.8 -426.154 0.0513862 2.56711
463 15402.1 -429.486 0.051288 2.56765
464 15406.3 -433.78 0.0511674 2.56836
465 15410.4 -437.944 0.0510466 2.56905
466 15413.7 -441.288 0.0509396 2.5696
467 15416.1 -443.624 0.0508507 2.56999
468 15417.9 -445.436 0.0507731 2.57029
469 15419.5 -447.027 0.0506995 2.57056
470 15421.6 -449.092 0.0506191 2.57091
471 15424.4 -451.866 0.0505284 2.57137
472 15427.6 -455.136 0.0504317 2.5719
473 15430.7 -458.341 0.0503403 2.57243
474 15433.3 -460.9 0.0502661 2.57285
475 15434.7 -462.383 0.0502185 2.5731
476 15434.8 -462.507 0.0502028 2.57312
477 15433.7 -461.325 0.0502184 2.57293
478 15431.5 -459.124 0.0502601 2.57256
479 15428.6 -456.151 0.0503221 2.57208
480 15425.3 -452.851 0.0503972 2.57152
481 15421.5 -449.116 0.0504849 2.57089
482 15417.2 -444.862 0.0505861 2.57018
483 15412.3 -439.979 0.0507014 2.56936
484 15406.9 -434.586 0.0508277 2.56846
485 15401.2 -428.79 0.0509602 2.56751
486 15395.6 -423.195 0.0510874 2.56657
487 15390.7 -418.358 0.0511968 2.56576
488 15387.3 -414.967 0.0512736 2.56519
489 15386 -413.642 0.0513049 2.56497
490 15387 -414.757 0.0512845 2.56514
491 15389.9 -417.733 0.051222 2.56563
492 15394 -421.855 0.0511329 2.5663
493 15398.2 -426.128 0.0510359 2.56701
494 15402.1 -430.09 0.0509426 2.56766
495 15405.3 -433.266 0.0508611 2.56819
496 15407.8 -435.797 0.050791 2.56862
497 15409.9 -437.895 0.0507293 2.56896
498 15411.7 -439.665 0.0506735 2.56925
499 15413.4 -441.372 0.0506193 2.56954
500 15415.2 -443.193 0.0505643 2.56985
501 15417.2 -445.19 0.0505084 2.57017
502 15419.1 -447.203 0.0504546 2.57049
503 15420.8 -448.832 0.0504095 2.57077
504 15422 -450.073 0.0503758 2.57097
505 15422.4 -450.61 0.0503596 2.57104
506 15421.9 -450.115 0.0503661 2.57096
507 15420.4 -448.595 0.0503953 2.57071
508 15418.1 -446.2 0.0504438 2.57033
509 15415.3 -443.439 0.0505028 2.56987
510 15412.5 -440.554 0.0505657 2.5694
511 15409.9 -437.961 0.0506252 2.56896
512 15407.7 -435.749 0.0506783 2.56859
513 15406.1 -434.053 0.0507218 2.56832
514 15405.1 -433.126 0.0507517 2.56816
515 15404.9 -433.026 0.0507674 2.56813
516 15405.1 -433.244 0.0507773 2.56817
517 15405.1 -433.296 0.0507927 2.56816
518 15403.9 -432.173 0.050832 2.56795
519 15400.7 -428.986 0.0509113 2.56742
520 15395.1 -423.383 0.0510368 2.56649
521 15387.8 -416.057 0.0511939 2.56528
522 15381.1 -409.159 0.0513405 2.56417
