# Time-averaged data for fix 2
# TimeStep c_KE c_PE c_PRESS c_TEMP
0 1871.25 0 0.0499 2.5
1 1871.25 0 0.0499 2.5
2 1871.25 0 0.0499 2.5
3 1871.25 0 0.0499 2.5
4 1871.25 0 0.0499 2.5
5 1871.25 0 0.0499 2.5
6 1871.25 0 0.0499 2.5
7 1871.25 0 0.0499 2.5
8 1871.25 0 0.0499 2.5
9 1871.25 0 0.0499 2.5
10 1871.25 0 0.0499 2.5
11 1871.25 0 0.0499 2.5
12 1871.25 0 0.0499 2.5
13 1871.25 0 0.0499 2.5
14 1871.25 0 0.0499 2.5
15 1871.25 0 0.0499 2.5
16 1871.25 0 0.0499 2.5
17 1871.25 0 0.0499 2.5
18 1871.25 0 0.0499 2.5
19 1871.25 0 0.0499 2.5
20 1871.25 0 0.0499 2.5
21 1871.25 0 0.0499 2.5
22 1871.25 0 0.0499 2.5
23 1871.25 0 0.0499 2.5
24 1871.25 0 0.0499 2.5
25 1871.25 0 0.0499 2.5
26 1871.25 0 0.0499 2.5
27 1871.25 0 0.0499 2.5
28 1871.25 0 0.0499 2.5
29 1871.25 0 0.0499 2.5
30 1871.25 0 0.0499 2.5
31 1871.25 0 0.0499 2.5
32 1871.25 0 0.0499 2.5
33 1871.25 0 0.0499 2.5
34 1871.25 0 0.0499 2.5
35 1871.25 0 0.0499 2.5
36 1871.25 -0.00550066 0.0498996 2.5
37 1871.25 -0.00585817 0.0498995 2.5
38 1871.25 -0.0176432 0.0498986 2.5
39 1871.25 -0.0244896 0.0498981 2.5
40 1871.25 -0.0260551 0.049898 2.50001
41 1871.26 -0.0389892 0.049897 2.50001
42 1871.26 -0.0529201 0.049896 2.50001
43 1871.26 -0.0787413 0.0498941 2.50002
44 1871.27 -0.105702 0.049892 2.50002
45 1871.27 -0.139746 0.0498895 2.50003
46 1871.28 -0.153329 0.0498886 2.50004
47 1871.29 -0.173331 0.0498873 2.50006
48 1871.3 -0.194314 0.0498859 2.50007
49 1871.31 -0.233135 0.0498831 2.50009
50 1871.33 -0.285411 0.0498793 2.5001
51 1871.34 -0.345876 0.0498749 2.50013
52 1871.36 -0.420583 0.0498695 2.50015
53 1871.39 -0.475958 0.0498656 2.50018
54 1871.41 -0.551084 0.0498603 2.50022
55 1871.44 -0.601761 0.0498571 2.50025
56 1871.47 -0.654702 0.0498537 2.5003
57 1871.51 -0.738426 0.0498479 2.50034
58 1871.54 -0.798184 0.0498441 2.50039
59 1871.58 -0.849683 0.0498411 2.50045
60 1871.63 -0.9152 0.0498371 2.5005
61 1871.67 -0.989619 0.0498324 2.50057
62 1871.73 -1.07883 0.0498267 2.50064
63 1871.78 -1.15559 0.049822 2.50071
64 1871.84 -1.25293 0.0498159 2.50079
65 1871.9 -1.32743 0.0498116 2.50087
66 1871.97 -1.43404 0.049805 2.50096
67 1872.05 -1.52922 0.0497994 2.50106
68 1872.12 -1.62443 0.0497939 2.50117
69 1872.21 -1.73031 0.0497878 2.50128
70 1872.3 -1.84775 0.0497809 2.5014
71 1872.39 -1.95529 0.049775 2.50153
72 1872.5 -2.09131 0.049767 2.50167
73 1872.61 -2.24636 0.0497577 2.50182
74 1872.73 -2.37669 0.0497506 2.50198
75 1872.86 -2.53206 0.0497418 2.50215
76 1872.99 -2.68016 0.0497339 2.50233
77 1873.14 -2.8381 0.0497255 2.50253
78 1873.3 -3.02912 0.0497148 2.50274
79 1873.47 -3.2211 0.0497044 2.50297
80 1873.65 -3.45391 0.0496912 2.50321
81 1873.85 -3.70164 0.0496773 2.50348
82 1874.07 -3.94865 0.0496641 2.50376
83 1874.3 -4.20733 0.0496505 2.50407
84 1874.55 -4.47346 0.049637 2.5044
85 1874.82 -4.75937 0.0496228 2.50477
86 1875.11 -5.07269 0.0496073 2.50515
87 1875.42 -5.42085 0.0495902 2.50558
88 1875.77 -5.77286 0.0495739 2.50603
89 1876.13 -6.1637 0.0495561 2.50653
90 1876.53 -6.57326 0.0495386 2.50706
91 1876.96 -7.02562 0.0495197 2.50763
92 1877.43 -7.50061 0.0495016 2.50825
93 1877.93 -8.01564 0.0494834 2.50892
94 1878.46 -8.57087 0.0494659 2.50963
95 1879.03 -9.15396 0.049451 2.51039
96 1879.62 -9.76607 0.0494398 2.51118
97 1880.24 -10.3935 0.0494351 2.51201
98 1880.86 -11.0329 0.0494393 2.51283
99 1881.46 -11.6721 0.0494564 2.51364
100 1882.01 -12.2311 0.0494965 2.51437
101 1882.45 -12.7004 0.0495653 2.51496
102 1882.71 -12.9826 0.0496768 2.51531
103 1882.68 -12.9787 0.0498461 2.51527
104 1882.26 -12.5732 0.0500899 2.51471
105 1881.34 -11.675 0.0504212 2.51348
106 1879.87 -10.2238 0.0508447 2.51151
107 1877.94 -8.29242 0.0513435 2.50894
108 1875.85 -6.2057 0.0518659 2.50614
109 1874.07 -4.40708 0.0523365 2.50376
110 1873.12 -3.46025 0.0526672 2.5025
111 1873.33 -3.68322 0.0528069 2.50278
112 1874.6 -5.00817 0.0527671 2.50447
113 1876.55 -7.00718 0.0526111 2.50709
114 1878.85 -9.31984 0.0523962 2.51015
115 1881.3 -11.7769 0.0521535 2.51343
116 1883.77 -14.2614 0.051908 2.51673
117 1886.01 -16.5333 0.0517021 2.51971
118 1887.67 -18.2303 0.0515935 2.52194
119 1888.45 -19.0375 0.0516336 2.52298
120 1888.1 -18.7262 0.051858 2.52252
121 1886.55 -17.1811 0.0522795 2.52044
122 1883.93 -14.5605 0.052869 2.51694
123 1880.76 -11.3538 0.0535449 2.5127
124 1877.87 -8.41387 0.0541704 2.50884
125 1876.2 -6.71511 0.0545921 2.50662
126 1876.29 -6.83631 0.0547202 2.50673
127 1877.86 -8.48288 0.054595 2.50883
128 1880.15 -10.825 0.0543407 2.51189
129 1882.43 -13.1555 0.0540672 2.51494
130 1884.48 -15.1813 0.0538187 2.51767
131 1886.41 -17.1086 0.0535727 2.52025
132 1888.45 -19.1384 0.0532998 2.52298
133 1890.73 -21.429 0.0529823 2.52602
134 1893.18 -23.8872 0.0526356 2.5293
135 1895.6 -26.3317 0.0522929 2.53253
136 1897.71 -28.4668 0.0519997 2.53535
137 1899.32 -30.1026 0.0517884 2.5375
138 1900.37 -31.1386 0.0516733 2.5389
139 1900.94 -31.6978 0.0516382 2.53966
140 1901.25 -32.0038 0.0516494 2.54008
141 1901.55 -32.3001 0.0516688 2.54048
